# Dataset Report: Modum (MOD)
# Coin Name: Modum
# Symbol: MOD
# Base Currency: BTC
# Approx Row Count: 1693
# Date Range: 2021-06-29 to 2026-02-15
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_MOD, Volume_BTC
# Note: Launched 2017. Swiss IoT/Supply chain project. Legacy data paired with BTC.
# --------------------------------------------------
Date,open,high,low,close,Volume_MOD,Volume_BTC
2022-10-21,1.137e-05,1.137e-05,1.102e-05,1.107e-05,2124.51,0.02382
2022-10-22,1.107e-05,1.117e-05,1.083e-05,1.1e-05,6592.87,0.07235
2022-10-23,1.1e-05,1.107e-05,1.075e-05,1.102e-05,7084.29,0.07717
2022-10-24,1.102e-05,1.115e-05,1.098e-05,1.104e-05,1720.43,0.01904
2022-10-25,1.104e-05,1.164e-05,1.102e-05,1.141e-05,4245.8,0.04833
2022-10-26,1.141e-05,1.236e-05,1.067e-05,1.092e-05,6606.76,0.07269
2022-10-27,1.092e-05,1.112e-05,1.07e-05,1.101e-05,3267.4,0.03577
2022-10-28,1.101e-05,1.107e-05,1.079e-05,1.091e-05,2071.15,0.02266
2022-10-29,1.091e-05,1.131e-05,1.085e-05,1.113e-05,2715.04,0.03018
2022-10-30,1.113e-05,1.115e-05,1.082e-05,1.092e-05,2629.88,0.02889
2022-10-31,1.092e-05,1.102e-05,1.076e-05,1.094e-05,3625.69,0.03946
2022-11-01,1.094e-05,1.097e-05,1.088e-05,1.091e-05,1041.6,0.01138
2022-11-02,1.091e-05,1.091e-05,1.059e-05,1.067e-05,2372.19,0.0255
2022-11-03,1.067e-05,1.123e-05,1.067e-05,1.102e-05,3839.19,0.04237
2022-11-04,1.102e-05,1.15e-05,1.082e-05,1.12e-05,7220.14,0.08041
2022-11-05,1.12e-05,1.121e-05,1.083e-05,1.085e-05,2014.15,0.02219
2022-11-06,1.085e-05,1.086e-05,1.019e-05,1.071e-05,9413.44,0.09877
2022-11-07,1.071e-05,1.096e-05,1.07e-05,1.08e-05,2153.18,0.02334
2022-11-08,1.08e-05,1.096e-05,1.007e-05,1.035e-05,19264.15,0.2012
2022-11-09,1.035e-05,1.088e-05,1.018e-05,1.05e-05,26898.38,0.282
2022-11-10,1.05e-05,1.098e-05,1.005e-05,1.026e-05,29932.85,0.3124
2022-11-11,1.026e-05,1.038e-05,9.54e-06,9.86e-06,21119.89,0.21
2022-11-12,9.86e-06,1.023e-05,9.86e-06,1.007e-05,3620.06,0.03639
2022-11-13,1.007e-05,1.016e-05,9.86e-06,1.005e-05,4489.22,0.0449
2022-11-14,1.005e-05,1.019e-05,9.72e-06,9.87e-06,15463.01,0.1541
2022-11-15,9.87e-06,1.014e-05,9.8e-06,9.95e-06,6695.59,0.06675
2022-11-16,9.95e-06,1.002e-05,9.65e-06,9.7e-06,3329.92,0.0329
2022-11-17,9.7e-06,9.7e-06,9.37e-06,9.41e-06,3658.92,0.03478
