# Dataset Report: Monero (XMR)
# Coin Name: Monero
# Symbol: XMR
# Approx Row Count: 4021
# Date Range: 2015-01-26 to 2026-01-28
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_XMR, Volume_USD
# --------------------------------------------------
Date,open,high,low,close,Volume_XMR,Volume_USD
2021-11-02,271.09,281.51,270.94,275.37,110184.64,30341654.24
2021-11-03,275.37,275.57,265.69,265.94,145132.39,38596781.25
2021-11-04,265.94,262.82,258.39,260.91,129715.75,33844162.75
2021-11-05,260.91,260.31,251.95,256.28,237411.23,60844360.65
2021-11-06,256.28,262.86,255.47,260.21,147082.21,38272167.0
2021-11-07,260.21,270.81,264.42,267.01,118681.2,31689200.85
2021-11-08,267.01,284.92,269.59,274.99,230300.05,63330797.77
2021-11-09,274.99,292.86,267.36,289.24,174432.09,50453514.99
2021-11-10,289.24,282.62,264.77,267.24,165756.03,44295922.57
2021-11-11,267.24,269.98,262.2,264.27,188539.09,49826055.19
2021-11-12,264.27,263.62,257.2,260.35,158653.1,41304742.08
2021-11-13,260.35,275.8,260.41,270.65,180049.45,48730198.39
2021-11-14,270.65,284.77,273.89,275.14,125351.95,34489091.34
2021-11-15,275.14,275.96,262.54,268.13,154531.2,41434954.88
2021-11-16,267.94,267.97,232.04,241.03,85773.13,21112655.2
2021-11-17,241.16,244.42,235.85,241.95,140856.94,34079678.1
2021-11-18,241.95,231.99,224.71,226.58,132984.49,30132171.83
2021-11-19,226.58,240.57,230.51,238.82,166711.9,39814734.75
2021-11-20,238.82,257.01,244.46,247.39,140063.08,34649732.33
2021-11-21,247.39,251.94,240.85,250.59,102919.97,25791110.83
2021-11-22,250.59,242.67,228.48,231.97,133938.1,31069434.51
2021-11-23,231.97,239.25,231.99,237.35,160757.63,38155355.97
2021-11-24,237.35,247.63,235.39,243.91,208738.9,50913282.57
2021-11-25,243.91,256.15,244.89,248.31,147737.14,36684608.48
2021-11-26,248.24,249.56,214.19,226.38,73112.4,16618631.03
2021-11-27,227.09,233.52,227.11,228.1,146066.42,33317536.39
2021-11-28,228.1,246.47,233.74,239.59,160034.38,38342311.02
2021-11-29,239.59,241.71,233.5,235.87,179697.05,42385086.56
2021-11-30,235.87,246.48,231.04,238.1,204505.38,48692728.45
2021-12-01,238.1,243.96,228.68,230.8,164719.61,38017352.37
2021-12-02,230.8,241.69,226.26,239.32,165610.14,39633382.46
2021-12-03,239.32,230.43,221.68,223.94,148056.17,33155216.38
2021-12-04,223.94,209.97,193.53,205.2,181067.54,37154553.33
2021-12-05,205.2,206.57,197.17,201.52,142934.71,28804552.52
2021-12-06,201.52,207.22,199.18,201.5,129732.1,26141482.64
2021-12-07,201.5,207.7,198.99,206.94,129362.03,26769804.87
2021-12-08,206.94,213.22,206.45,209.93,177422.22,37246635.95
2021-12-09,209.93,197.9,188.19,189.38,158075.09,29935617.04
2021-12-10,189.38,193.06,183.95,189.94,137220.56,26064268.5
2021-12-11,189.94,202.14,195.52,198.63,119372.89,23711152.5
2021-12-12,198.63,202.14,196.53,197.88,119473.59,23641953.76
2021-12-13,197.88,186.6,183.0,184.07,141656.0,26075119.56
2021-12-14,184.07,190.65,186.24,186.97,97453.76,18220932.84
2021-12-15,186.97,192.9,186.01,188.21,122644.38,23082585.1
2021-12-16,188.21,195.12,181.02,187.02,175211.44,32767802.05
2021-12-17,187.02,183.36,178.15,181.61,133525.58,24249544.1
2021-12-18,181.61,184.87,180.89,181.31,128267.67,23255904.4
2021-12-19,181.31,183.99,177.45,183.89,124414.91,22879068.11
2021-12-20,183.89,191.88,181.23,188.87,184812.68,34906293.87
2021-12-21,188.87,201.39,188.58,189.02,152708.71,28864564.03
2021-12-22,189.02,193.68,186.05,190.67,190621.51,36345405.36
2021-12-23,190.67,224.42,198.09,209.78,295435.69,61975386.85
2021-12-24,209.78,210.02,201.84,204.33,151799.47,31016792.06
2021-12-25,204.33,216.91,202.13,211.01,119788.35,25276053.38
2021-12-26,211.01,217.28,210.07,216.93,74778.99,16221645.41
2021-12-27,216.93,232.88,215.23,220.96,205723.15,45457426.29
2021-12-28,220.79,220.97,207.36,208.75,46219.3,9934508.89
2021-12-29,208.59,214.98,200.9,214.84,115282.02,24767035.75
2021-12-30,214.84,226.55,213.36,225.0,172906.87,38903526.48
2021-12-31,225.0,231.36,217.13,228.45,126833.07,28974469.2
2022-01-01,228.45,253.58,235.92,249.95,175561.85,43882169.77
2022-01-02,249.95,251.58,237.34,239.23,116216.5,27802300.76
2022-01-03,239.23,235.41,225.33,231.23,120994.44,27977790.3
2022-01-04,231.23,230.13,220.28,221.7,107248.78,23776960.63
2022-01-05,221.7,210.56,205.04,206.57,102627.07,21199162.52
2022-01-06,206.57,208.28,196.68,204.79,90667.45,18567356.79
2022-01-07,204.79,201.86,192.47,194.55,70599.9,13735180.09
2022-01-08,194.55,195.76,183.38,183.96,113426.84,20866372.93
2022-01-09,183.96,195.45,184.6,190.84,101820.62,19431613.78
2022-01-10,190.84,195.4,182.6,182.6,99678.53,18201225.35
2022-01-11,182.6,196.53,186.02,192.77,96752.04,18650993.82
2022-01-12,192.77,203.7,196.76,198.87,93468.45,18587908.55
2022-01-13,198.87,228.12,192.61,223.22,222956.16,49769148.74
2022-01-14,223.22,230.1,219.72,229.5,149908.09,34403372.17
2022-01-15,229.5,231.34,215.1,217.38,64605.38,14044091.51
2022-01-16,217.38,228.09,212.53,223.95,91420.47,20473565.85
2022-01-17,223.95,227.08,214.42,214.46,101424.58,21751274.65
2022-01-18,214.46,218.18,203.18,204.02,91476.22,18663416.69
2022-01-19,204.02,209.33,198.54,201.16,106800.06,21484355.0
2022-01-20,201.16,199.05,188.26,188.47,97938.9,18458343.31
2022-01-21,188.47,176.73,168.05,172.76,116522.27,20129813.39
2022-01-22,172.76,167.52,144.69,152.05,144184.74,21923882.78
2022-01-23,152.05,159.81,153.14,156.69,96739.37,15158307.78
2022-01-24,156.69,158.56,146.04,147.07,147611.58,21708951.59
2022-01-25,147.07,148.79,142.25,144.76,159656.54,23112040.52
2022-01-26,144.76,150.19,142.68,148.28,172020.34,25506323.42
2022-01-27,148.28,150.43,143.26,144.67,150844.12,21822395.06
2022-01-28,144.67,149.05,145.66,148.75,122095.44,18161924.13
2022-01-29,148.75,154.8,150.45,153.46,104044.01,15967109.04
2022-01-30,153.46,153.91,146.52,147.84,102465.2,15148753.96
2022-01-31,147.84,150.75,143.51,147.17,184934.01,27215829.33
2022-02-01,147.17,148.69,144.39,146.1,237519.88,34700747.56
2022-02-02,146.1,146.68,138.89,144.87,149688.73,21684953.89
2022-02-03,144.87,147.78,144.42,147.07,138196.35,20325206.29
2022-02-04,147.07,174.93,163.7,165.36,207912.34,34381048.17
2022-02-05,165.36,168.82,163.73,168.57,131891.03,22233149.84
2022-02-06,168.57,174.65,171.6,173.59,92137.87,15994580.86
2022-02-07,173.59,185.14,177.73,184.87,142472.68,26339552.66
2022-02-08,184.87,186.9,176.36,178.79,145423.94,26000195.97
2022-02-09,178.79,186.22,179.6,186.13,124824.37,23233808.75
2022-02-10,186.13,189.1,175.35,179.26,156870.09,28121068.37
2022-02-11,179.26,178.63,167.73,169.47,141982.51,24061594.67
2022-02-12,169.47,174.66,165.87,173.9,132115.62,22974642.64
2022-02-13,173.9,174.08,169.96,173.83,99305.74,17262572.88
2022-02-14,173.83,176.89,170.98,176.21,103113.13,18169460.65
2022-02-15,176.21,184.9,178.53,182.54,145343.75,26531058.5
2022-02-16,182.54,185.02,178.92,179.05,144828.46,25931994.99
2022-02-17,179.05,167.74,163.11,163.76,161144.2,26389235.01
2022-02-18,163.76,163.18,159.38,160.1,139686.41,22363602.03
2022-02-19,160.1,166.2,159.71,161.11,157448.18,25366523.68
2022-02-20,161.11,155.82,151.71,153.82,129782.5,19963064.14
2022-02-21,153.82,153.26,147.19,147.93,150790.24,22305998.45
2022-02-22,147.93,153.84,146.14,150.89,144479.83,21800523.73
2022-02-23,150.89,150.39,146.55,148.93,124794.71,18586214.85
2022-02-24,148.93,153.87,145.86,147.12,135484.28,19933055.1
2022-02-25,147.12,154.84,148.95,154.02,84732.38,13050150.48
2022-02-26,154.02,158.81,152.08,157.91,104881.32,16561708.46
2022-02-27,157.91,153.54,149.39,150.75,100005.01,15075424.75
2022-02-28,150.75,175.65,166.58,170.34,120952.89,20603022.18
2022-03-01,170.34,180.38,174.96,177.8,101871.08,18112956.84
2022-03-02,177.8,180.53,173.46,177.85,117291.75,20860382.05
2022-03-03,177.85,176.91,170.66,172.15,126800.2,21828479.65
2022-03-04,172.15,168.6,156.93,159.87,188027.48,30059467.21
2022-03-05,159.87,166.02,157.9,165.98,102221.33,16966938.44
