# Dataset Report: Ink (INK)
# Coin Name: Ink (Legacy 2017 Project)
# Symbol: INK
# Base Currency: BTC
# Date Range: 2017-12-01 to 2026-02-15
# Frequency: Daily
# Note: Creative industry project on Qtum. Not to be confused with Kraken's Ink L2.
# --------------------------------------------------
Date,open,high,low,close,Volume_INK,Volume_BTC
2019-01-31,2.05e-06,2.05e-06,1.93e-06,1.99e-06,96189.9,0.1911
2019-02-01,1.99e-06,2.01e-06,1.94e-06,1.99e-06,125289.27,0.2483
2019-02-02,1.99e-06,2.03e-06,1.97e-06,2.01e-06,16657.85,0.03331
2019-02-03,2.01e-06,2.08e-06,1.94e-06,1.99e-06,130779.85,0.264
2019-02-04,1.99e-06,2.18e-06,1.92e-06,1.98e-06,189443.14,0.3759
2019-02-05,1.98e-06,2.15e-06,1.96e-06,1.97e-06,108796.41,0.2173
2019-02-06,1.97e-06,2.06e-06,1.93e-06,1.94e-06,140622.85,0.2791
2019-02-07,1.94e-06,2.28e-06,1.9e-06,1.94e-06,67059.67,0.132
2019-02-08,1.94e-06,2.01e-06,1.85e-06,1.92e-06,199494.63,0.3851
2019-02-09,1.92e-06,1.94e-06,1.91e-06,1.94e-06,44802.96,0.08642
2019-02-10,1.94e-06,1.96e-06,1.91e-06,1.95e-06,19129.24,0.03728
2019-02-11,1.95e-06,2.16e-06,1.9e-06,1.97e-06,70490.06,0.1412
2019-02-12,1.97e-06,2.33e-06,1.83e-06,1.87e-06,356177.98,0.6867
2019-02-13,1.87e-06,1.96e-06,1.82e-06,1.95e-06,139928.99,0.2617
2019-02-14,1.95e-06,1.99e-06,1.81e-06,1.95e-06,82396.49,0.1565
2019-02-15,1.95e-06,1.95e-06,1.86e-06,1.89e-06,103974.25,0.1952
2019-02-16,1.89e-06,1.93e-06,1.77e-06,1.88e-06,31548.53,0.05883
2019-02-17,1.88e-06,2e-06,1.74e-06,1.85e-06,106117.81,0.1994
2019-02-18,1.85e-06,2.18e-06,1.37e-06,1.69e-06,544043.4,0.9442
2019-02-19,1.69e-06,1.84e-06,1.69e-06,1.82e-06,157230.15,0.2779
2019-02-20,1.82e-06,1.82e-06,1.74e-06,1.8e-06,49296.56,0.08769
2019-02-21,1.8e-06,1.81e-06,1.74e-06,1.76e-06,74502.27,0.1319
2019-02-22,1.76e-06,1.8e-06,1.69e-06,1.78e-06,64652.69,0.1131
2019-02-23,1.78e-06,2.52e-06,1.73e-06,1.79e-06,79322.16,0.1519
2019-02-24,1.79e-06,1.84e-06,1.65e-06,1.71e-06,146175.64,0.2548
2019-02-25,1.71e-06,1.78e-06,1.67e-06,1.75e-06,142888.86,0.2467
2019-02-26,1.75e-06,1.76e-06,1.64e-06,1.75e-06,57401.53,0.09853
2019-02-27,1.75e-06,1.77e-06,1.65e-06,1.73e-06,44097.66,0.07645
2019-02-28,1.73e-06,1.77e-06,1.67e-06,1.71e-06,70775.68,0.1213
2019-03-01,1.71e-06,1.73e-06,1.11e-06,1.66e-06,202750.24,0.3181
2019-03-02,1.66e-06,1.72e-06,1.6e-06,1.63e-06,76278.97,0.1247
2019-03-03,1.63e-06,1.8e-06,1.6e-06,1.66e-06,54856.2,0.09069
2019-03-04,1.66e-06,1.79e-06,1.58e-06,1.64e-06,242888.84,0.4135
2019-03-05,1.64e-06,1.84e-06,1.58e-06,1.73e-06,151276.45,0.262
2019-03-06,1.73e-06,1.73e-06,1.55e-06,1.65e-06,167458.65,0.2728
2019-03-07,1.65e-06,1.81e-06,1.63e-06,1.78e-06,94125.32,0.164
2019-03-08,1.78e-06,1.8e-06,1.63e-06,1.74e-06,95402.14,0.1675
2019-03-09,1.74e-06,1.82e-06,1.71e-06,1.76e-06,65104.54,0.1141
2019-03-10,1.76e-06,1.89e-06,1.73e-06,1.88e-06,48874.78,0.08781
2019-03-11,1.88e-06,1.88e-06,1.64e-06,1.76e-06,53679.22,0.09389
