# Dataset Report: Siacoin (SC)
# Coin Name: Siacoin
# Symbol: SC
# Approx Row Count: 3824
# Date Range: 2015-08-25 to 2026-02-14
# Frequency: Daily
# Columns Present: open, high, low, close, Volume_SC, Volume_USD
# Note: Launched June 2015. Decentralized cloud storage network.
# --------------------------------------------------
Date,open,high,low,close,Volume_SC,Volume_USD
2016-04-23,0.0001069,0.000108,9.452e-05,9.452e-05,93332845.51,8821.52
2016-04-24,9.452e-05,0.0001007,9.151e-05,9.151e-05,97380939.3,8911.52
2016-04-25,9.151e-05,9.235e-05,7.388e-05,8.311e-05,385614836.88,32048.99
2016-04-26,8.311e-05,8.854e-05,6.99e-05,8.388e-05,369315272.23,30978.17
2016-04-27,8.388e-05,8.493e-05,7.599e-05,8.493e-05,176506770.81,14991.06
2016-04-28,8.493e-05,9.867e-05,8.073e-05,8.97e-05,224443062.29,20131.64
2016-04-29,8.97e-05,9.1e-05,8.19e-05,8.19e-05,68512756.54,5610.95
2016-04-30,8.19e-05,8.971e-05,8.074e-05,8.522e-05,70363835.99,5996.46
2016-05-01,8.522e-05,9.045e-05,8.14e-05,8.593e-05,32310979.66,2776.34
2016-05-02,8.593e-05,8.439e-05,7.995e-05,8.439e-05,69690391.86,5881.46
2016-05-03,8.439e-05,9.906e-05,7.655e-05,9.906e-05,327602326.54,32452.09
2016-05-04,9.906e-05,0.000107,8.47e-05,0.0001025,259117022.31,26568.3
2016-05-05,0.0001025,0.000112,9.858e-05,0.0001031,125835962.81,12968.45
2016-05-06,0.0001031,0.0001103,9.651e-05,9.651e-05,110564148.13,10670.28
2016-05-07,9.651e-05,0.00011,9.628e-05,0.0001054,84822766.91,8944.2
2016-05-08,0.0001054,0.0001282,0.0001053,0.0001236,460567680.41,56937.63
2016-05-09,0.0001236,0.0001381,0.0001105,0.0001105,319736282.46,35332.65
2016-05-10,0.0001105,0.0001213,0.0001034,0.0001123,192273461.36,21600.0
2016-05-11,0.0001123,0.0001177,0.0001086,0.0001131,86389544.45,9772.82
2016-05-12,0.0001131,0.0001227,0.0001091,0.0001136,168708310.09,19166.53
2016-05-13,0.0001136,0.0001184,0.0001093,0.0001139,142205107.43,16190.41
2016-05-14,0.0001139,0.0001187,0.0001095,0.0001095,79483278.37,8707.04
2016-05-15,0.0001095,0.0001237,0.0001099,0.0001191,80089388.56,9539.33
2016-05-16,0.0001191,0.0001228,0.0001137,0.0001183,53760146.32,6358.01
2016-05-17,0.0001183,0.0001858,0.0001178,0.0001632,2156264625.73,351837.7
2016-05-18,0.0001632,0.0001726,0.0001544,0.0001635,458347657.79,74948.64
2016-05-19,0.0001635,0.0002789,0.0001549,0.0002567,2136366771.39,548496.79
2016-05-20,0.0002567,0.0003404,0.0002211,0.0002785,1918180722.17,534269.53
2016-05-21,0.0002785,0.0003505,0.0002662,0.0003105,909691059.99,282502.74
2016-05-22,0.0003105,0.0003341,0.000277,0.0003165,761578391.19,241059.67
2016-05-23,0.0003165,0.0003239,0.000244,0.0002662,661668827.81,176145.51
2016-05-24,0.0002662,0.0002766,0.0002364,0.0002409,295944925.67,71292.96
2016-05-25,0.0002409,0.0002564,0.0002339,0.0002474,194881764.36,48209.66
2016-05-26,0.0002474,0.0002946,0.0002493,0.0002765,573603197.69,158608.74
2016-05-27,0.0002765,0.0003034,0.0002465,0.000256,354503632.63,90748.32
2016-05-28,0.000256,0.000304,0.0002359,0.0002411,279313063.6,67353.89
