# Dataset Report: Simple Token (OST)
# Coin Name: Simple Token
# Symbol: OST
# Approx Row Count: 2818
# Date Range: 2018-01-18 to 2026-02-15
# Frequency: Daily
# Note: Launched 2017. Tokenization infrastructure (OpenST). Now a legacy asset.
# --------------------------------------------------
Date,open,high,low,close,Volume_OST,Volume_USD
2021-06-28,0.006396,0.00733,0.00571,0.00666,3819095.55,25435.18
2021-06-29,0.00666,0.00733,0.00614,0.00627,4025049.52,25237.06
2021-06-30,0.00627,0.00716,0.0058,0.00694,2731447.34,18956.24
2021-07-01,0.00694,0.00729,0.0059,0.00603,2869321.0,17302.01
2021-07-02,0.00603,0.00647,0.00501,0.0059,3161431.55,18652.45
2021-07-03,0.0059,0.01998,0.00556,0.00622,7817995.77,48627.93
2021-07-04,0.00622,0.0068,0.00591,0.0061,6505862.96,39685.76
2021-07-05,0.0061,0.00628,0.00536,0.00574,5759558.13,33059.86
2021-07-06,0.00574,0.00607,0.00565,0.00597,4721187.44,28185.49
2021-07-07,0.00597,0.0062,0.00568,0.0058,4271570.42,24775.11
2021-07-08,0.0058,0.005988,0.005098,0.005478,4005787.58,21942.94
2021-07-09,0.005478,0.005767,0.004717,0.005067,8504452.18,43091.7
2021-07-10,0.005067,0.005499,0.00471,0.00499,4957307.75,24734.49
2021-07-11,0.00499,0.00518,0.00462,0.00471,4022895.9,18947.84
2021-07-12,0.00471,0.004899,0.004229,0.004289,5163799.99,22148.27
2021-07-13,0.004289,0.00453,0.0037,0.00408,4919601.81,20071.98
2021-07-14,0.00408,0.0044,0.00363,0.0041,6881393.46,28213.71
2021-07-15,0.0041,0.0044,0.00377,0.00398,5992683.96,23850.88
2021-07-16,0.00398,0.004114,0.003594,0.003914,5147218.92,20145.75
2021-07-17,0.003914,0.004044,0.003764,0.003894,4847920.5,18877.27
2021-07-18,0.003894,0.004434,0.003704,0.004164,5094415.2,21213.96
2021-07-19,0.004164,0.00447,0.00345,0.00347,4666635.26,16193.22
2021-07-20,0.00347,0.0069,0.00282,0.00313,9613500.32,30090.26
2021-07-21,0.00313,0.00352,0.00284,0.00336,8529231.61,28658.22
2021-07-22,0.00336,0.00337,0.00226,0.00273,9937105.65,27128.3
2021-07-23,0.00273,0.00277,0.00232,0.00255,12020949.08,30653.42
2021-07-24,0.00255,0.002703,0.002412,0.002502,8054322.85,20155.94
2021-07-25,0.002502,0.004204,0.002292,0.002893,12243371.62,35418.73
2021-07-26,0.002893,0.0037,0.0022,0.00307,23275435.48,71455.59
2021-07-27,0.00307,0.00487,0.00258,0.00291,30744938.32,89467.77
2021-07-28,0.00291,0.0091,0.00271,0.00632,59687741.46,377226.53
2021-07-29,0.00632,0.00672,0.0043,0.0045,25685551.37,115584.98
2021-07-30,0.0045,0.0055,0.00364,0.00408,20255922.66,82644.16
2021-07-31,0.00408,0.00426,0.003741,0.003927,11431106.27,44889.95
2021-08-01,0.003927,0.004402,0.003804,0.00387,13878320.69,53707.24
2021-08-02,0.00387,0.003916,0.0032,0.003622,10071543.2,36479.13
2021-08-03,0.003622,0.003673,0.003202,0.003327,7693209.53,25595.31
2021-08-04,0.003327,0.003757,0.003202,0.003362,9368707.31,31497.59
2021-08-05,0.003362,0.00655,0.0032,0.003519,21903908.33,77079.85
2021-08-06,0.003519,0.0178,0.003338,0.01541,210335572.26,3241271.17
2021-08-07,0.01541,0.01889,0.008169,0.01064,144293044.06,1535277.99
2021-08-08,0.01064,0.0108,0.007895,0.008502,28924983.0,245920.21
2021-08-09,0.008502,0.009686,0.0078,0.008577,12445875.46,106748.27
2021-08-10,0.008577,0.008753,0.007242,0.007291,10732586.25,78251.29
2021-08-11,0.007291,0.01488,0.007276,0.008945,23517283.57,210362.1
2021-08-12,0.01007,0.0117,0.009699,0.0104,9811620.15,102040.85
2021-08-13,0.0104,0.01305,0.009989,0.0103,12210355.35,125766.66
2021-08-14,0.0103,0.0118,0.00992,0.01042,6708664.26,69907.03
2021-08-15,0.01042,0.0107,0.009571,0.00966,5138868.32,49639.67
2021-08-16,0.00966,0.01034,0.008897,0.0089,6931861.01,61693.56
2021-08-17,0.0089,0.009423,0.007689,0.008182,5889928.49,48191.39
2021-08-18,0.008182,0.008539,0.007575,0.008035,6185264.15,49698.6
2021-08-19,0.008035,0.009072,0.00758,0.008162,6009512.07,49049.64
2021-08-20,0.008162,0.009039,0.007199,0.00776,7955926.35,61737.99
2021-08-21,0.00776,0.008456,0.007764,0.007961,3121366.5,24849.05
2021-08-22,0.007961,0.009011,0.007886,0.008898,4598124.14,40913.6
2021-08-23,0.008898,0.01061,0.007582,0.008233,11697257.18,96303.52
2021-08-24,0.008233,0.008625,0.007327,0.007762,4467984.74,34680.5
2021-08-25,0.007762,0.007861,0.00747,0.007551,3716074.97,28060.08
2021-08-26,0.007551,0.009588,0.00627,0.007215,11449931.5,82611.26
2021-08-27,0.007215,0.009009,0.006907,0.00771,8696681.84,67048.83
2021-08-28,0.00771,0.009342,0.00755,0.008237,5875482.1,48397.69
2021-08-29,0.008237,0.008629,0.007621,0.008063,5538500.12,44657.23
2021-08-30,0.008063,0.01293,0.007669,0.0103,28310695.41,291600.16
2021-08-31,0.0103,0.01045,0.007289,0.007861,14608475.28,114837.22
2021-09-01,0.007861,0.00836,0.007384,0.007626,5441067.6,41493.58
2021-09-02,0.007626,0.008098,0.007554,0.007886,4817104.5,37987.69
2021-09-03,0.007886,0.008095,0.007459,0.007608,5582226.76,42469.58
2021-09-04,0.007608,0.007878,0.007404,0.007527,4856199.01,36552.61
2021-09-05,0.007527,0.007875,0.007498,0.007755,1568669.5,12165.03
2021-09-06,0.007755,0.01299,0.007689,0.008946,13193154.5,118025.96
2021-09-07,0.008946,0.009258,0.0065,0.00757,5538771.68,41928.5
2021-09-08,0.00757,0.013,0.00757,0.01042,10479178.42,109193.04
2021-09-09,0.01042,0.01063,0.0083,0.00973,3760276.95,36587.49
2021-09-10,0.00973,0.01015,0.008791,0.009145,1145959.65,10479.8
2021-09-11,0.009145,0.009562,0.008826,0.00894,806657.68,7211.52
2021-09-12,0.00894,0.009764,0.008781,0.009152,521680.5,4774.42
2021-09-13,0.009152,0.009685,0.008451,0.008614,715921.65,6166.95
2021-09-14,0.008614,0.009319,0.008453,0.008928,866440.54,7735.58
2021-09-15,0.008928,0.009337,0.008451,0.009159,611929.28,5604.66
2021-09-16,0.009159,0.009159,0.008787,0.008821,315945.66,2786.96
2021-09-17,0.008821,0.00906,0.008768,0.008768,193194.56,1693.93
2021-09-18,0.008768,0.009204,0.008503,0.008901,335002.24,2981.85
2021-09-19,0.008901,0.008901,0.008334,0.008383,698971.8,5859.48
2021-09-20,0.008383,0.008723,0.0072,0.007768,1048398.45,8144.19
2021-09-21,0.007768,0.01039,0.007301,0.007585,4500028.32,34132.71
2021-09-22,0.007585,0.008302,0.007585,0.007816,444129.48,3471.32
2021-09-23,0.007816,0.008225,0.007824,0.007965,86450.2,688.57
2021-09-24,0.007965,0.008311,0.007093,0.00762,1161340.46,8848.96
2021-09-25,0.00762,0.007818,0.007278,0.007426,91097.34,676.53
2021-09-26,0.007426,0.007428,0.005157,0.006241,1338740.17,8355.39
2021-09-27,0.006241,0.006235,0.005201,0.005204,3982911.96,20727.07
2021-09-28,0.005204,0.005249,0.003404,0.004049,6798950.62,27528.95
2021-09-29,0.004049,0.004296,0.003168,0.003243,9564958.18,31019.16
2021-09-30,0.003243,0.004069,0.002499,0.003142,28860116.87,90678.49
2021-10-01,0.003142,0.0039,0.002886,0.003312,10856472.7,35956.64
2021-10-02,0.003312,0.003668,0.003107,0.003323,4239146.13,14086.68
2021-10-03,0.003323,0.00363,0.003326,0.003522,1697402.47,5977.43
2021-10-04,0.003522,0.003676,0.003322,0.003565,3133990.97,11172.68
2021-10-05,0.003565,0.00368,0.003205,0.003641,1830239.84,6663.24
2021-10-06,0.003641,0.00459,0.003412,0.004022,4760941.64,19148.51
2021-10-07,0.004022,0.004239,0.00398,0.00416,1146879.58,4771.02
2021-10-08,0.00416,0.00416,0.003439,0.0039,2116400.24,8253.96
2021-10-09,0.0039,0.003996,0.003599,0.003799,3026422.53,11497.38
2021-10-10,0.003799,0.003885,0.0035,0.003743,2267498.22,8487.25
2021-10-11,0.003743,0.00416,0.003029,0.003623,2898802.04,10502.36
2021-10-12,0.003623,0.003691,0.003432,0.003583,1157216.24,4146.31
2021-10-13,0.003583,0.003945,0.00344,0.003944,1340122.73,5285.44
2021-10-14,0.003944,0.003944,0.003722,0.003824,1278854.73,4890.34
2021-10-15,0.003824,0.003931,0.0036,0.00393,3900085.08,15325.8
2021-10-16,0.00393,0.00405,0.003746,0.003833,1043078.86,3998.12
2021-10-17,0.003833,0.00416,0.003814,0.003859,2888661.87,11147.35
2021-10-18,0.003859,0.00402,0.00369,0.00402,521907.26,2098.07
2021-10-19,0.00402,0.00402,0.003949,0.003987,389547.65,1553.13
2021-10-20,0.003987,0.004159,0.003948,0.004119,780581.18,3215.21
2021-10-21,0.004119,0.00605,0.00398,0.004233,14679367.09,62137.76
2021-10-22,0.004233,0.005908,0.004105,0.004977,18696107.87,93041.22
2021-10-23,0.004977,0.00959,0.004266,0.009298,60305376.23,560719.39
2021-10-24,0.009298,0.012,0.005998,0.008682,121599690.89,1055744.53
2021-10-25,0.008682,0.01052,0.0072,0.008428,32587075.92,274643.88
2021-10-26,0.008428,0.008724,0.006999,0.007205,20439505.9,147266.64
2021-10-27,0.007205,0.00722,0.005074,0.005454,21974540.82,119859.01
2021-10-28,0.005454,0.006363,0.005,0.005445,21041210.62,114569.39
2021-10-29,0.005445,0.006183,0.004749,0.005118,14686256.13,75164.26
2021-10-30,0.005118,0.005526,0.004701,0.005,13175557.76,65877.79
2021-10-31,0.005,0.005806,0.004508,0.00464,16450243.49,76323.13
2021-11-01,0.00464,0.009153,0.004204,0.006632,67790544.36,449561.47
2021-11-02,0.006632,0.008787,0.005656,0.006641,59254576.99,393487.96
2021-11-03,0.006641,0.0067,0.005511,0.005827,29303835.73,170753.45
2021-11-04,0.005827,0.005933,0.005005,0.005546,15850370.31,87898.86
2021-11-05,0.005546,0.005906,0.005147,0.005654,11689748.23,66089.72
2021-11-06,0.005654,0.006217,0.005255,0.005707,18485215.95,105489.6
2021-11-07,0.005707,0.005824,0.005205,0.00545,13598515.84,74117.96
2021-11-08,0.00545,0.006194,0.00525,0.005491,25921837.83,142336.81
2021-11-09,0.005491,0.005814,0.0052,0.005492,26337615.74,144646.19
2021-11-10,0.005492,0.0057,0.00505,0.005201,19633181.2,102112.18
2021-11-11,0.005201,0.005605,0.005113,0.005427,11331650.2,61496.87
2021-11-12,0.005427,0.00551,0.005001,0.005206,16638763.88,86621.4
2021-11-13,0.005206,0.005425,0.005,0.005209,7671099.5,39958.76
2021-11-14,0.005209,0.005375,0.00496,0.005081,13939476.96,70826.48
2021-11-15,0.005081,0.005216,0.004786,0.00498,12727002.44,63380.47
2021-11-16,0.00498,0.005643,0.004764,0.00519,17050676.57,88493.01
2021-11-17,0.00519,0.00521,0.004807,0.00501,13579786.06,68034.8
2021-11-18,0.00501,0.00503,0.004437,0.004498,15636914.18,70342.56
2021-11-19,0.004498,0.005208,0.004437,0.004683,13511846.65,63271.63
2021-11-20,0.004683,0.004814,0.004154,0.004561,15070759.85,68731.04
2021-11-21,0.004561,0.005582,0.004184,0.004496,22071430.09,99244.01
2021-11-22,0.004496,0.006006,0.004382,0.00484,29209544.89,141369.38
2021-11-23,0.00484,0.004851,0.00443,0.004606,19268729.67,88751.77
2021-11-24,0.004606,0.004619,0.00436,0.004511,7280172.97,32840.86
2021-12-16,0.004516,0.004511,0.00318,0.003277,4054950.99,13288.07
2021-12-17,0.003277,0.003534,0.003,0.003145,13855078.27,43574.22
2021-12-18,0.003145,0.003667,0.0028,0.003031,13189780.59,39978.59
2021-12-19,0.003031,0.003298,0.003012,0.003182,11966728.96,38078.13
2021-12-20,0.003182,0.003503,0.003003,0.003202,12920376.32,41371.04
2021-12-21,0.003202,0.006509,0.003031,0.005258,58736995.32,308839.12
2021-12-22,0.005258,0.00545,0.003405,0.003974,49699670.49,197506.49
2021-12-23,0.003974,0.0041,0.003302,0.003629,10936818.84,39689.72
2021-12-24,0.003629,0.004097,0.003381,0.003529,13976607.07,49323.45
2021-12-25,0.003529,0.004499,0.003445,0.00401,32057922.26,128552.27
2021-12-26,0.00401,0.004034,0.003512,0.003512,9495483.05,33348.14
2021-12-27,0.003512,0.004397,0.003469,0.003806,13300574.21,50621.99
2021-12-28,0.003806,0.004109,0.003469,0.003469,4744761.22,16459.58
2021-12-29,0.003469,0.004088,0.003203,0.003509,22599004.97,79299.91
2021-12-30,0.003509,0.00371,0.003082,0.00318,7974723.24,25359.62
2021-12-31,0.00318,0.003196,0.002817,0.003134,5200836.23,16299.42
2022-01-01,0.003134,0.00316,0.002918,0.003068,1874685.05,5751.53
2022-01-02,0.003068,0.005,0.002988,0.003336,53677122.91,179066.88
2022-01-03,0.003336,0.00342,0.003068,0.003107,14406844.93,44762.07
2022-01-04,0.003107,0.003273,0.003001,0.003183,6137115.35,19534.44
2022-01-05,0.003183,0.003362,0.002952,0.003061,5236909.72,16030.18
2022-01-06,0.003061,0.003075,0.002821,0.003022,4837218.28,14616.61
2022-01-07,0.003022,0.003042,0.002736,0.002778,1960973.01,5448.45
2022-01-08,0.002778,0.003091,0.002779,0.003072,2016361.57,6194.26
2022-01-09,0.003072,0.003281,0.00295,0.003175,2151591.18,6831.3
2022-01-10,0.003175,0.003246,0.002802,0.003081,2707798.84,8342.73
2022-01-11,0.003081,0.0033,0.002878,0.003026,4791105.08,14497.88
2022-01-12,0.003026,0.003269,0.00288,0.002954,3426641.39,10122.3
2022-01-13,0.002954,0.003091,0.002954,0.00307,1057346.06,3246.05
2022-01-14,0.00307,0.003738,0.003024,0.003109,8546414.91,26570.8
2022-01-15,0.003109,0.00316,0.00293,0.003119,5868148.04,18302.75
